Filename;q_flag;Avg Time;Avg Energy;File Size;Resolution;bpp;;ssim;psnr;mse;;min fs;max fs ;avg fs;median fs
coinsinfountain;96;0,045662867;2,48;154032;640x512;3,7605;96;0,99300078;39,26687873;7,698258464;;;;;
coinsinfountain;97;0,043490112;2,57;173671;640x512;4,24;97;0,994826309;40,41203116;5,913944499;;;;;
coinsinfountain;98;0,049212516;2,67;202856;640x512;4,9525;98;0,996493629;42,3193471;3,811936442;;;;;
coinsinfountain;99;0,049901167;2,75;241350;640x512;5,8923;99;0,997765143;44,42386016;2,347979736;;;;;
dancers;70;0,062116409;3,34;47602;618x453;1,3602;70;0,950012949;29,7675979;68,59944015;;;;;
dancers;71;0,061164296;3,14;48733;618x453;1,3926;71;0,951460298;29,90828158;66,41286307;;;;;
dancers;72;0,064669875;3,23;50000;618x453;1,4288;72;0,953449202;30,07241242;63,94978937;;;;;
dancers;73;0,061308107;3,29;51163;618x453;1,462;73;0,955205302;30,23760017;61,5630806;;;;;
dancers;74;0,064787725;3,22;52333;618x453;1,4954;74;0,95685983;30,40115316;59,28776037;;;;;
dancers;75;0,061874509;3,29;53719;618x453;1,535;75;0,958697496;30,57292097;56,98863623;;;;;
dancers;76;0,064586055;3,25;55318;618x453;1,5807;76;0,960555295;30,73819235;54,86067235;;;;;
dancers;77;0,06250797;3,15;56864;618x453;1,6249;77;0,962552994;30,92929725;52,49895221;;;;;
dancers;78;0,065302397;3,24;58635;618x453;1,6755;78;0,964601777;31,16461405;49,73005684;;;;;
dancers;79;0,063603933;3,26;60227;618x453;1,721;79;0,966163909;31,3304758;47,86662214;;;;;
dancers;80;0,06256772;3,37;61961;618x453;1,7706;80;0,967707169;31,55698603;45,43408203;;;;;
dancers;81;0,063793634;3,24;64106;618x453;1,8319;81;0,969516393;31,75263739;43,43267942;;;;;
dancers;82;0,063921124;3,38;66093;618x453;1,8886;82;0,971202776;32,00294865;41,00015479;;;;;
dancers;83;0,065196357;3,31;68170;618x453;1,948;83;0,972813519;32,24730028;38,75701603;;;;;
dancers;84;0,065118606;3,31;70686;618x453;2,0199;84;0,974523276;32,46422117;36,86873558;;;;;
dancers;85;0,062079398;3,26;73492;618x453;2,1001;85;0,976047872;32,73380678;34,64971626;;;;;
dancers;86;0,063535582;3,4;76565;618x453;2,1879;86;0,977852402;33,01502038;32,47718077;;;;;
dancers;87;0,066287889;3,37;79958;618x453;2,2848;87;0,979512112;33,31346011;30,32035977;;;;;
dancers;88;0,066519591;3,48;82806;618x453;2,3662;88;0,980989042;33,41622706;29,61131233;;;;;
dancers;89;0,063552303;3,29;86975;618x453;2,4854;89;0,982804091;33,78579492;27,1957393;;;;;
dancers;90;0,064123014;3,24;91501;618x453;2,6147;90;0,984493114;34,15238923;24,99432645;;;;;
dancers;91;0,063281892;3,42;96992;618x453;2,7716;91;0,986166869;34,62953666;22,39374326;;;;;
dancers;92;0,066026899;3,34;103392;618x453;2,9545;92;0,987871278;35,0899516;20,14119343;;;;;
dancers;93;0,065991229;3,36;110428;618x453;3,1556;93;0,989491581;35,57783754;18,00099897;;;;;
dancers;94;0,070533091;3,47;118845;618x453;3,3961;94;0,991076436;36,19470097;15,61745501;;;;;
dancers;95;0,067240892;3,56;129721;618x453;3,7069;95;0,992687083;36,92428456;13,20237015;;;;;
dancers;96;0,071228802;3,52;143236;618x453;4,0931;96;0,994273121;37,78711366;10,82353172;;;;;
dancers;97;0,0743701;3,7;160373;618x453;4,5828;97;0,995647644;38,82441875;8,523902736;;;;;
dancers;98;0,076615146;3,83;187514;618x453;5,3584;98;0,996984757;40,61291759;5,646620516;;;;;
dancers;99;0,079258303;4,16;224978;618x453;6,4289;99;0,998082564;42,74467887;3,456308298;;;;;
flowersonih35;64;0,075028962;3,67;51704;640x512;1,2623;64;0,950445078;27,33092149;120,2231801;;;;;
