Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp,,,,,
cemetry,47,0.057905697,2.77,15187,627x482,0.402,,,,,
cemetry,48,0.057004094,2.77,14005,627x482,0.3707,,,,,
cemetry,49,0.056509463,2.72,12922,627x482,0.342,,,,,
cemetry,50,0.055430821,2.64,11856,627x482,0.3138,,,,,
cemetry,51,0.054606089,2.64,10952,627x482,0.2899,,,,,
cemetry,52,0.053855337,2.58,10017,627x482,0.2651,,,,,
cemetry,53,0.052641285,2.53,9214,627x482,0.2439,,,,,
cemetry,54,0.051969513,2.56,8356,627x482,0.2211,,,,,
cemetry,55,0.05063317,2.44,7602,627x482,0.2012,,,,,
cemetry,56,0.049576598,2.37,6903,627x482,0.1827,,,,,
cemetry,57,0.048406605,2.37,6172,627x482,0.1633,,,,,
cemetry,58,0.047139653,2.3,5533,627x482,0.1464,,,,,
cemetry,59,0.046620832,2.22,4949,627x482,0.131,,,,,
cemetry,60,0.045304949,2.17,4272,627x482,0.113,,,,,
cemetry,61,0.044774138,2.16,3779,627x482,0.1,,,,,
cemetry,62,0.042397863,2.06,3132,627x482,0.0829,,,,,
cemetry,63,0.041386651,2,2396,627x482,0.0634,,,,,
churchandcapitol,0,0.147853033,7.02,398506,634x505,9.9573,,,,,
churchandcapitol,1,0.131417077,5.85,294423,634x505,7.3566,,,,,
churchandcapitol,2,0.122910998,5.51,246262,634x505,6.1532,,,,,
churchandcapitol,3,0.118277798,5.28,212040,634x505,5.2981,,,,,
churchandcapitol,4,0.115352771,5.24,188180,634x505,4.702,,,,,
churchandcapitol,5,0.115669712,5.28,167899,634x505,4.1952,,,,,
churchandcapitol,6,0.110577362,4.97,153180,634x505,3.8274,,,,,
churchandcapitol,7,0.109349858,5.05,139391,634x505,3.4829,,,,,
churchandcapitol,8,0.106611473,4.83,129018,634x505,3.2237,,,,,
churchandcapitol,9,0.104348128,4.76,119028,634x505,2.9741,,,,,
churchandcapitol,10,0.101428212,4.69,111370,634x505,2.7827,,,,,
churchandcapitol,11,0.099578397,4.54,105095,634x505,2.6259,,,,,
churchandcapitol,12,0.09643333,4.42,98344,634x505,2.4572,,,,,
churchandcapitol,13,0.094219865,4.41,93044,634x505,2.3248,,,,,
churchandcapitol,14,0.092498052,4.4,88427,634x505,2.2095,,,,,
churchandcapitol,15,0.091285679,4.26,84175,634x505,2.1032,,,,,
churchandcapitol,16,0.090220746,4.16,79793,634x505,1.9937,,,,,
churchandcapitol,17,0.088153773,4.21,76408,634x505,1.9091,,,,,
churchandcapitol,18,0.087541151,4.06,73256,634x505,1.8304,,,,,
churchandcapitol,19,0.086365219,3.98,70363,634x505,1.7581,,,,,
churchandcapitol,20,0.084882225,4.04,67221,634x505,1.6796,,,,,
churchandcapitol,21,0.084248794,4.01,64604,634x505,1.6142,,,,,
churchandcapitol,22,0.083190801,3.88,62377,634x505,1.5585,,,,,
churchandcapitol,23,0.083130341,3.88,60107,634x505,1.5018,,,,,
