Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp,,avg time,avg energy,,,
carnivaldolls,33,0.032825672,1.65,31954,610x488,0.8587,,,,,,
carnivaldolls,34,0.033238792,1.67,30236,610x488,0.8125,,,,,,
carnivaldolls,35,0.032218821,1.55,28175,610x488,0.7571,,,,,,
carnivaldolls,36,0.033457183,1.67,26293,610x488,0.7066,,,,,,
carnivaldolls,37,0.032333401,1.56,24706,610x488,0.6639,,,,,,
carnivaldolls,38,0.031564319,1.51,22985,610x488,0.6177,,,,,,
carnivaldolls,39,0.031442469,1.44,21453,610x488,0.5765,,,,,,
carnivaldolls,40,0.03199224,1.59,19988,610x488,0.5371,,,,,,
carnivaldolls,41,0.031087218,1.51,18485,610x488,0.4967,,,,,,
carnivaldolls,42,0.031081188,1.57,17190,610x488,0.4619,,,,,,
carnivaldolls,43,0.030609766,1.48,15964,610x488,0.429,,,,,,
carnivaldolls,44,0.030577327,1.43,14825,610x488,0.3984,,,,,,
carnivaldolls,45,0.030187465,1.52,13688,610x488,0.3678,,,,,,
carnivaldolls,46,0.030180825,1.44,12592,610x488,0.3384,,,,,,
carnivaldolls,47,0.029727085,1.47,11599,610x488,0.3117,,,,,,
carnivaldolls,48,0.029831105,1.51,10690,610x488,0.2872,,,,,,
carnivaldolls,49,0.030166815,1.43,9953,610x488,0.2674,,,,,,
carnivaldolls,50,0.029398074,1.44,9183,610x488,0.2467,,,,,,
carnivaldolls,51,0.029168634,1.44,8468,610x488,0.2275,,,,,,
carnivaldolls,52,0.028955103,1.42,7721,610x488,0.2074,,,,,,
carnivaldolls,53,0.029063464,1.39,7115,610x488,0.1912,,,,,,
carnivaldolls,54,0.029297254,1.4,6572,610x488,0.1766,,,,,,
carnivaldolls,55,0.029335614,1.4,5985,610x488,0.1608,,,,,,
carnivaldolls,56,0.029123553,1.41,5520,610x488,0.1483,,,,,,
carnivaldolls,57,0.034572755,1.67,5093,610x488,0.1368,,,,,,
carnivaldolls,58,0.028280852,1.34,4645,610x488,0.1248,,,,,,
carnivaldolls,59,0.028135111,1.4,4151,610x488,0.1115,,,,,,
carnivaldolls,60,0.027738231,1.32,3723,610x488,0.1,,,,,,
carnivaldolls,61,0.027311469,1.33,3313,610x488,0.089,,,,,,
carnivaldolls,62,0.02763839,1.4,2787,610x488,0.0748,,,,,,
carnivaldolls,63,0.026996898,1.34,2270,610x488,0.061,,,,,,
cemetry,0,0.073485721,3.64,446814,627x482,11.8277,,,,,,
cemetry,1,0.06389805,3.09,343416,627x482,9.0906,,,,,,
cemetry,2,0.065652323,3.06,293490,627x482,7.769,,,,,,
cemetry,3,0.059021329,2.93,257096,627x482,6.8056,,,,,,
cemetry,4,0.054125378,2.62,232021,627x482,6.1418,,,,,,
cemetry,5,0.051611172,2.55,211768,627x482,5.6057,,,,,,
cemetry,6,0.05023321,2.48,195133,627x482,5.1654,,,,,,
cemetry,7,0.049202177,2.49,180807,627x482,4.7861,,,,,,
cemetry,8,0.049331027,2.5,169011,627x482,4.4739,,,,,,
